"DONOR","RECIPIENT","SECTOR","CHANNEL","AIDTOTHRU","FLOWTYPE","AMOUNTTYPE","TIME","Agency Name","OECD ID","Donor Project ID","Recipient Name","Region Name","Income Group Name","Aid To Or Through","Flow Code","Flow Name","Type of Aid Code","Type of Aid Name","USD Commitments Current","USD Commitments Constant","USD Disbursements Current","USD Disbursements Constant","Short Description","Project title","Sector Name","Channel of Delivery Name","Reported Channel of Delivery Name","Channel Category","Channel Category Name","Geography","Long Description","Gender equality","Environment","Program-based Approaches","Investment Project","Biodiversity","Climate Mitigation","Climate Adaptation","Desertification","Value"
"5","9998","99810","41114","10","112","A","2020","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2020015679","","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","125.35612500000001","125.35612500000001","125.35612500000001","125.35612500000001","CONTRIBUTION TO UNDP","Contribution to UNDP","IX. Unallocated / Unspecified","United Nations Development Programme","UNDP","41000","United Nations (UN) agency, fund or commission","","Contribution to UNDP","","","","","","","","","125.356125"
"5","9998","99810","41114","10","112","A","2020","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2020015679","","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","125.35612500000001","125.35612500000001","125.35612500000001","125.35612500000001","CONTRIBUTION TO UNDP","Contribution to UNDP","IX. Unallocated / Unspecified","United Nations Development Programme","UNDP","41000","United Nations (UN) agency, fund or commission","","Contribution to UNDP","","","","","","","","","125.356125"
"5","9998","99810","41141","10","112","A","2020","Foreign Office","2020015743","6614498","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","43.304842999999998","43.304842999999998","43.304842999999998","43.304842999999998","CONTRIBUTION TO PBF","Contribution to PBF","IX. Unallocated / Unspecified","United Nations Peacebuilding Fund","PBF","41000","United Nations (UN) agency, fund or commission","","Contribution to PBF","","","","","","","","","43.304843"
"5","9998","99810","41141","10","112","A","2020","Foreign Office","2020015743","6614498","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","43.304842999999998","43.304842999999998","43.304842999999998","43.304842999999998","CONTRIBUTION TO PBF","Contribution to PBF","IX. Unallocated / Unspecified","United Nations Peacebuilding Fund","PBF","41000","United Nations (UN) agency, fund or commission","","Contribution to PBF","","","","","","","","","43.304843"
"5","9998","99810","41137","10","112","A","2020","Foreign Office","2020015740","6614645","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","0.34188000000000002","0.34188000000000002","0.34188000000000002","0.34188000000000002","CONTRIBUTION TO UNVFTC","Contribution to UNVFTC","IX. Unallocated / Unspecified","United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights","UNVFTC","41000","United Nations (UN) agency, fund or commission","","Contribution to UNVFTC","","","","","","","","","0.34188"
"5","9998","99810","41137","10","112","A","2020","Foreign Office","2020015740","6614645","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","0.34188000000000002","0.34188000000000002","0.34188000000000002","0.34188000000000002","CONTRIBUTION TO UNVFTC","Contribution to UNVFTC","IX. Unallocated / Unspecified","United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights","UNVFTC","41000","United Nations (UN) agency, fund or commission","","Contribution to UNVFTC","","","","","","","","","0.34188"
"5","9998","99810","41308","10","112","A","2020","Federal Ministry of Justice and Consumer Protection","2020015750","41308","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","3.6063999999999999E-2","3.6063999999999999E-2","3.6063999999999999E-2","3.6063999999999999E-2","CONTRIBUTION TO WIPO","Contribution to WIPO","IX. Unallocated / Unspecified","World Intellectual Property Organisation","WIPO","41000","United Nations (UN) agency, fund or commission","","Contribution to WIPO","","","","","","","","","0.036064"
"5","9998","99810","41127","10","112","A","2020","Foreign Office","2020015742","6614229","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","5.6980060000000003","5.6980060000000003","5.6980060000000003","5.6980060000000003","CONTRIBUTION TO UNOCHA","Contribution to UNOCHA","IX. Unallocated / Unspecified","United Nations Office of Co-ordination of Humanitarian Affairs","UNOCHA","41000","United Nations (UN) agency, fund or commission","","Contribution to UNOCHA","","","","","","","","","5.698006"
"5","9998","99810","41127","10","112","A","2020","Foreign Office","2020015742","6614229","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","5.6980060000000003","5.6980060000000003","5.6980060000000003","5.6980060000000003","CONTRIBUTION TO UNOCHA","Contribution to UNOCHA","IX. Unallocated / Unspecified","United Nations Office of Co-ordination of Humanitarian Affairs","UNOCHA","41000","United Nations (UN) agency, fund or commission","","Contribution to UNOCHA","","","","","","","","","5.698006"
"5","9998","99810","41140","10","112","A","2020","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2020015685","202078103","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","63.835897000000003","63.835897000000003","0.0","0.0","CONTRIBUTION TO WFP","Contribution to WFP","IX. Unallocated / Unspecified","World Food Programme","WFP","41000","United Nations (UN) agency, fund or commission","","Contribution to WFP","","","","","","","","","0"
